, where, what, value
103, GPU1.SA_05.CU_00, cu_inst_count, 0.000000000000
104, GPU1.SA_05.CU_00, cu_CPI, +Inf
105, GPU1.SA_05.CU_00, simd_inst_count, 0.000000000000
106, GPU1.SA_05.CU_00, simd_CPI, +Inf
107, GPU1.SA_05.CU_00, v_mul_count, 0.000000000000
108, GPU1.SA_05.CU_01, cu_inst_count, 0.000000000000
109, GPU1.SA_05.CU_01, cu_CPI, +Inf
110, GPU1.SA_05.CU_01, simd_inst_count, 0.000000000000
111, GPU1.SA_05.CU_01, simd_CPI, +Inf
112, GPU1.SA_05.CU_01, v_mul_count, 0.000000000000
113, GPU1.SA_05.CU_02, cu_inst_count, 0.000000000000
114, GPU1.SA_05.CU_02, cu_CPI, +Inf
115, GPU1.SA_05.CU_02, simd_inst_count, 0.000000000000
116, GPU1.SA_05.CU_02, simd_CPI, +Inf
117, GPU1.SA_05.CU_02, v_mul_count, 0.000000000000
118, GPU1.SA_05.CU_03, cu_inst_count, 0.000000000000
119, GPU1.SA_05.CU_03, cu_CPI, +Inf
120, GPU1.SA_05.CU_03, simd_inst_count, 0.000000000000
121, GPU1.SA_05.CU_03, simd_CPI, +Inf
122, GPU1.SA_05.CU_03, v_mul_count, 0.000000000000
123, GPU1.SA_06.CU_00, cu_inst_count, 0.000000000000
124, GPU1.SA_06.CU_00, cu_CPI, +Inf
125, GPU1.SA_06.CU_00, simd_inst_count, 0.000000000000
126, GPU1.SA_06.CU_00, simd_CPI, +Inf
127, GPU1.SA_06.CU_00, v_mul_count, 0.000000000000
128, GPU1.SA_06.CU_01, cu_inst_count, 0.000000000000
129, GPU1.SA_06.CU_01, cu_CPI, +Inf
130, GPU1.SA_06.CU_01, simd_inst_count, 0.000000000000
131, GPU1.SA_06.CU_01, simd_CPI, +Inf
132, GPU1.SA_06.CU_01, v_mul_count, 0.000000000000
133, GPU1.SA_06.CU_02, cu_inst_count, 0.000000000000
134, GPU1.SA_06.CU_02, cu_CPI, +Inf
135, GPU1.SA_06.CU_02, simd_inst_count, 0.000000000000
136, GPU1.SA_06.CU_02, simd_CPI, +Inf
137, GPU1.SA_06.CU_02, v_mul_count, 0.000000000000
138, GPU1.SA_06.CU_03, cu_inst_count, 0.000000000000
139, GPU1.SA_06.CU_03, cu_CPI, +Inf
140, GPU1.SA_06.CU_03, simd_inst_count, 0.000000000000
141, GPU1.SA_06.CU_03, simd_CPI, +Inf
142, GPU1.SA_06.CU_03, v_mul_count, 0.000000000000
143, GPU1.SA_07.CU_00, cu_inst_count, 0.000000000000
144, GPU1.SA_07.CU_00, cu_CPI, +Inf
145, GPU1.SA_07.CU_00, simd_inst_count, 0.000000000000
146, GPU1.SA_07.CU_00, simd_CPI, +Inf
147, GPU1.SA_07.CU_00, v_mul_count, 0.000000000000
148, GPU1.SA_07.CU_01, cu_inst_count, 0.000000000000
149, GPU1.SA_07.CU_01, cu_CPI, +Inf
150, GPU1.SA_07.CU_01, simd_inst_count, 0.000000000000
151, GPU1.SA_07.CU_01, simd_CPI, +Inf
152, GPU1.SA_07.CU_01, v_mul_count, 0.000000000000
153, GPU1.SA_07.CU_02, cu_inst_count, 0.000000000000
154, GPU1.SA_07.CU_02, cu_CPI, +Inf
155, GPU1.SA_07.CU_02, simd_inst_count, 0.000000000000
156, GPU1.SA_07.CU_02, simd_CPI, +Inf
157, GPU1.SA_07.CU_02, v_mul_count, 0.000000000000
158, GPU1.SA_07.CU_03, cu_inst_count, 0.000000000000
159, GPU1.SA_07.CU_03, cu_CPI, +Inf
160, GPU1.SA_07.CU_03, simd_inst_count, 0.000000000000
161, GPU1.SA_07.CU_03, simd_CPI, +Inf
162, GPU1.SA_07.CU_03, v_mul_count, 0.000000000000
163, GPU1.SA_08.CU_00, cu_inst_count, 0.000000000000
164, GPU1.SA_08.CU_00, cu_CPI, +Inf
165, GPU1.SA_08.CU_00, simd_inst_count, 0.000000000000
166, GPU1.SA_08.CU_00, simd_CPI, +Inf
167, GPU1.SA_08.CU_00, v_mul_count, 0.000000000000
168, GPU1.SA_08.CU_01, cu_inst_count, 0.000000000000
169, GPU1.SA_08.CU_01, cu_CPI, +Inf
170, GPU1.SA_08.CU_01, simd_inst_count, 0.000000000000
171, GPU1.SA_08.CU_01, simd_CPI, +Inf
172, GPU1.SA_08.CU_01, v_mul_count, 0.000000000000
173, GPU1.SA_08.CU_02, cu_inst_count, 0.000000000000
174, GPU1.SA_08.CU_02, cu_CPI, +Inf
175, GPU1.SA_08.CU_02, simd_inst_count, 0.000000000000
176, GPU1.SA_08.CU_02, simd_CPI, +Inf
177, GPU1.SA_08.CU_02, v_mul_count, 0.000000000000
178, GPU1.SA_08.CU_03, cu_inst_count, 0.000000000000
179, GPU1.SA_08.CU_03, cu_CPI, +Inf
180, GPU1.SA_08.CU_03, simd_inst_count, 0.000000000000
181, GPU1.SA_08.CU_03, simd_CPI, +Inf
182, GPU1.SA_08.CU_03, v_mul_count, 0.000000000000
183, GPU1.SA_09.CU_00, cu_inst_count, 0.000000000000
184, GPU1.SA_09.CU_00, cu_CPI, +Inf
185, GPU1.SA_09.CU_00, simd_inst_count, 0.000000000000
186, GPU1.SA_09.CU_00, simd_CPI, +Inf
187, GPU1.SA_09.CU_00, v_mul_count, 0.000000000000
188, GPU1.SA_09.CU_01, cu_inst_count, 0.000000000000
189, GPU1.SA_09.CU_01, cu_CPI, +Inf
190, GPU1.SA_09.CU_01, simd_inst_count, 0.000000000000
191, GPU1.SA_09.CU_01, simd_CPI, +Inf
192, GPU1.SA_09.CU_01, v_mul_count, 0.000000000000
193, GPU1.SA_09.CU_02, cu_inst_count, 0.000000000000
194, GPU1.SA_09.CU_02, cu_CPI, +Inf
